Human gene name,Gene name
HS6ST3,Hs6st3
PPFIBP1,Ppfibp1
IRF3,Irf3
MRPL45,Mrpl45
COASY,Coasy
MSRB3,Msrb3
BCAR1,Bcar1
CCAR1,Ccar1
MAFF,Maff
GLYAT,Glyat
GPR179,Gpr179
CNIH3,Cnih3
SLC9B2,Slc9b2
USP32,Usp32
USP6,Usp32
TRIM39,Trim39
NEGR1,Negr1
SOCS7,Socs7
WDR41,Wdr41
SNRPN,Snrpn
ACADVL,Acadvl
FEM1A,Fem1a
FAIM,Faim
KLHL12,Klhl12
AC004551.1,Oas1h
POLD2,Pold2
DUSP27,Dusp27
UBXN4,Ubxn4
ARHGAP23,Arhgap23
MGMT,Mgmt
PLD5,Pld5
MARVELD2,Marveld2
WFDC1,Wfdc1
SNX21,Snx21
BPIFA2,Bpifa2
SNURF,Snurf
AC124312.1,Snurf
PRPF8,Prpf8
MLX,Mlx
OXGR1,Oxgr1
ACOT8,Acot8
CPNE1,Cpne1
AEBP1,Aebp1
CCDC34,Ccdc34
PHF20,Phf20
BCL2L12,Bcl2l12
FBXW12,Fbxw21
LYVE1,Lyve1
LBH,Lbh
PTPRN2,Ptprn2
SEC22C,Sec22c
IDUA,Idua
RENBP,Renbp
STX4,Stx4a
ISCU,Iscu
ANKRD12,Ankrd12
ALOX15B,Alox8
DDX23,Ddx23
SLC4A8,Slc4a8
MRPS34,Mrps34
TICAM1,Ticam1
E2F7,E2f7
EME2,Eme2
PLIN3,Plin3
ZSWIM3,Zswim3
HERPUD1,Herpud1
PCGF1,Pcgf1
IFI44L,Ifi44l
SPATA25,Spata25
C17orf64,1700125H20Rik
LRRC29,Lrrc29
TXN2,Txn2
CFDP1,Cfdp1
HSPA12B,Hspa12b
ZSWIM1,Zswim1
CDC27,Cdc27
ARRDC5,Arrdc5
SPSB3,Spsb3
PPP2CA,Ppp2ca
GRINA,Grina
TRNAU1AP,Trnau1ap
SGSM3,Sgsm3
STX1B,Stx1b
AC004551.1,Oas1g
LCT,Lct
SPRED1,Spred1
GPR20,Gpr20
DGKQ,Dgkq
HHAT,Hhat
COX7A2L,Cox7a2l
TMEM170A,Tmem170
LAMTOR4,Lamtor4
IGF1R,Igf1r
ALDH3A2,Aldh3a2
ADCY10,Adcy10
RABIF,Rabif
MEX3B,Mex3b
SRCIN1,Srcin1
PDE8B,Pde8b
AC022414.1,Pde8b
ALX4,Alx4
EIF1B,Eif1b
TCF3,Tcf3
EXT2,Ext2
COL6A3,Col6a3
PLTP,Pltp
CCDC148,Ccdc148
PSMC3IP,Psmc3ip
TNKS2,Tnks2
MED11,Med11
FOXJ1,Foxj1
PIRT,Pirt
IVNS1ABP,Ivns1abp
NME3,Nme3
FAM98B,Fam98b
PAIP2B,Paip2b
AL590132.1,Kcnh1
KCNH1,Kcnh1
AC092017.3,Kcnh1
RNF157,Rnf157
MAPK8IP3,Mapk8ip3
CXCL16,Cxcl16
GPRC5A,Gprc5a
ANO10,Ano10
RND1,Rnd1
KLF3,Klf3
BBOX1,Bbox1
ZMYND15,Zmynd15
KIF1B,Kif1b
EBF3,Ebf3
GTF2A2,Gtf2a2
KSR2,Ksr2
TMEM231,Tmem231
CCDC65,Ccdc65
GPA33,Gpa33
MCM6,Mcm6
DYTN,Dytn
ZBTB7A,Zbtb7a
SPATC1,Spatc1
TMEM175,Tmem175
CD81,Cd81
TMEM63B,Tmem63b
RHOJ,Rhoj
TG,Tg
ADCYAP1,Adcyap1
LDHA,Ldha
CPTP,Cptp
KLRB1,Klrb1
CNBD2,Cnbd2
SMOX,Smox
SGK3,Sgk3
DLGAP1,Dlgap1
FGFBP3,Fgfbp3
GPRC5D,Gprc5d
CTSA,Ctsa
FKBP11,Fkbp11
ARHGEF28,Arhgef28
SCAND1,Scand1
TAF9,Taf9
SLC26A1,Slc26a1
SIRT1,Sirt1
RAD17,Rad17
GPC2,Gpc2
UBALD2,Ubald2
KCNG3,Kcng3
SLC24A1,Slc24a1
MYL4,Myl4
TMC5,Tmc5
QRICH2,Qrich2
CECR2,Cecr2
ATP9A,Atp9a
TYRO3,Tyro3
PRC1,Prc1
HIC1,Hic1
TAF9,Ak6
MRPL14,Mrpl14
PPP1R26,Ppp1r26
RGS14,Rgs14
GAL3ST4,Gal3st4
PRPSAP1,Prpsap1
OVCA2,Ovca2
DPH1,Dph1
ZMYM2,Zmym2
APC2,Apc2
ITGB3,Itgb3
AC068234.1,Itgb3
PAM,Pam
ABHD12,Abhd12
SLA,Sla
INTS3,Ints3
SLC9B1,Slc9b1
FIBIN,Fibin
ARF3,Arf3
ARID2,Arid2
C19orf25,2310011J03Rik
NEURL2,Neurl2
C9orf116,1700007K13Rik
ITPKC,Itpkc
RAB34,Rab34
FHOD1,Fhod1
SPHK1,Sphk1
AL109827.1,Nfs1
NFS1,Nfs1
TSSC4,Tssc4
SBK1,Sbk1
TMEM119,Tmem119
LCLAT1,Lclat1
SNRPA,Snrpa
APPBP2,Appbp2
EEF1A2,Eef1a2
NRL,Nrl
TMEM208,Tmem208
SPEF1,Spef1
LAT,Lat
AC136352.3,Gm1123
CXADR,Gm1123
GSG1,Gsg1
TRPM5,Trpm5
C19orf54,BC024978
CSNK1G2,Csnk1g2
NLRC5,Nlrc5
GLRX3,Glrx3
GDE1,Gde1
MDH1B,Mdh1b
IGFN1,Igfn1
SELPLG,Selplg
C20orf27,1700037H04Rik
BTAF1,Btaf1
MRPS2,Mrps2
RCCD1,Rccd1
RBM12,Rbm12
HEBP1,Hebp1
PPDPF,Ppdpf
BRD1,Brd1
PPM1D,Ppm1d
PARP10,Parp10
OR14C36,Olfr310
APBB1,Apbb1
KLRB1,Klrb1b
CTDSPL,Ctdspl
ZFP91-CNTF,Zfp91
ZFP91,Zfp91
ZER1,Zer1
OR13G1,Olfr309
PCK2,Pck2
VKORC1,Vkorc1
OR6F1,Olfr308
ROMO1,Romo1
ZNF668,Zfp668
OR14A2,Olfr307
SERTAD4,Sertad4
PGPEP1L,Pgpep1l
CENPB,Cenpb
POC1A,Poc1a
CNTF,Cntf
ITGA9,Itga9
CDC25B,Cdc25b
OR14A2,Olfr305
ARHGAP39,Arhgap39
VKORC1,Gm21974
GPHB5,Gphb5
OR14A2,Olfr304
ZNF646,Zfp646
ATF3,Atf3
PTP4A3,Ptp4a3
KLRB1,Klrb1c
FAM169B,Fam169b
NFAM1,Nfam1
PRSS53,Prss53
SPNS1,Spns1
PLEC,Plec
CSF2RB,Csf2rb
LPP,Lpp
EFCAB3,Efcab3
MBNL2,Mbnl2
NENF,Nenf
UBE2O,Ube2o
ATP2C2,Atp2c2
COQ5,Coq5
NUCB2,Nucb2
EFCAB13,Gm11639
IGHM,Ighm
TCERG1L,Tcerg1l
NOX3,Nox3
S100PBP,S100pbp
WNT10B,Wnt10b
TMEM9,Tmem9
PTK6,Ptk6
ACE2,Ace2
AANAT,Aanat
NCAPH2,Ncaph2
LEMD3,Lemd3
DARS,Dars
NAP1L2,Nap1l2
NFATC2IP,Nfatc2ip
SCAF1,Scaf1
MTA3,Mta3
CCP110,Ccp110
OR14C36,Olfr301
SRMS,Srms
OR14C36,Olfr300-ps1
TMPRSS11D,Tmprss11d
AATF,Aatf
OR14C36,Olfr299
CD19,Cd19
RHBDF2,Rhbdf2
OR14A2,Olfr298
METTL2A,Mettl2
METTL2B,Mettl2
OR14C36,Olfr297
MPZL1,Mpzl1
PPP2R2D,Ppp2r2d
OR14C36,Olfr296-ps1
GUCY2D,Gucy2e
LPXN,Lpxn
OR14C36,Olfr295
OR14A2,Olfr294
WNT1,Wnt1
SYT14,Syt14
OR14C36,Olfr293
SLC5A12,Slc5a12
SHQ1,Shq1
OR14C36,Olfr292
TMEM206,Tmem206
MAPK1IP1L,Mapk1ip1
OR5B21,Olfr1444
ANXA6,Anxa6
FOLH1,Folh1
CENPU,Cenpu
TMPRSS11A,Tmprss11a
GBGT1,Gbgt1
PPP2R5A,Ppp2r5a
TLR1,Tlr1
OR5B12,Olfr1445
OR5B3,Olfr1446
TUBG1,Tubg1
GXYLT2,Gxylt2
RAP2A,Rap2a
KCNQ1,Kcnq1
PPP2R5E,Ppp2r5e
GRIK1,Grik1
RTN4RL1,Rtn4rl1
GCNT3,Gcnt3
CAPN13,Capn13
CDX4,Cdx4
PIK3CB,Pik3cb
LHX1,Lhx1
CYGB,Cygb
OR2Y1,Olfr1373
DYNLL1,Dynll1
SCAF11,Scaf11
OR2Y1,Olfr1371
AC015802.6,St6galnac2
TLR6,Tlr6
FAM81A,Fam81a
TYMP,Tymp
SLCO2B1,Slco2b1
BCAS3,Bcas3
PRIMPOL,Primpol
MYLK3,Mylk3
DNAJC12,Dnajc12
UHRF1,Uhrf1
ASCL5,Ascl5
CACNA1G,Cacna1g
SCO2,Sco2
TUBG2,Tubg2
HGH1,Hgh1
ST6GALNAC2,St6galnac2
XYLT1,Xylt1
OR5B3,Olfr1447
CAMTA2,Camta2
SPATA6,Spata6
SRSF9,Srsf9
ERMARD,Ermard
CSRP2,Csrp2
SLC34A1,Slc34a1
BNIP3,Bnip3
C11orf24,1810055G02Rik
COTL1,Cotl1
BCKDK,Bckdk
MRM1,Mrm1
ODF1,Odf1
GABARAPL2,Gabarapl2
SWT1,Swt1
FNDC1,Fndc1
HELZ2,Helz2
DHRS11,Dhrs11
CLEC2D,Clec2i
MYL7,Myl7
KLHL36,Klhl36
SCN8A,Scn8a
AC004551.1,Oas1a
GINS1,Gins1
PFN3,Pfn3
CYP2D7,Cyp2d9
CYP2D6,Cyp2d9
PACSIN3,Pacsin3
TLK2,Tlk2
FAM114A1,Fam114a1
RCSD1,Rcsd1
TCTE3,Gm3448
CD164L2,Cd164l2
TCTE3,Tcte3
ZNF251,Zfp251
MGA,Mga
PROCA1,Proca1
TM2D3,Tm2d3
SALL4,Sall4
GPR3,Gpr3
PKP4,Pkp4
BTBD2,Btbd2
HAAO,Haao
CHIC1,Chic1
AC004551.1,Oas1d
SLCO6A1,Slco6d1
LPAR5,Lpar5
CCR10,Ccr10
CREG1,Creg1
PLEKHH3,Plekhh3
MDGA1,Mdga1
KMT2A,Kmt2a
AP001267.5,Kmt2a
TMPRSS11F,Tmprss11f
NANP,Nanp
TARSL2,Tarsl2
RPS15A,Rps15a
NINL,Ninl
AL021546.1,Gatc
GATC,Gatc
MLLT6,Mllt6
TRIAP1,Triap1
CORO1C,Coro1c
TAGAP,Tagap
PUSL1,Pusl1
RPA1,Rpa1
COX6A1,Cox6a1
GJA3,Gja3
ZNF7,Zfp7
RSPH3,Rsph3a
ADAT1,Adat1
PEF1,Pef1
UTP25,Diexf
RRAS,Rras
COMMD5,Commd5
CNTNAP1,Cntnap1
DTL,Dtl
BMX,Bmx
FASTKD2,Fastkd2
PRRC2B,Prrc2b
KAT8,Kat8
AEBP2,Aebp2
RNF2,Rnf2
SETD2,Setd2
CARF,Carf
JAKMIP3,Jakmip3
FBXW12,Fbxw13
CHIA,Chia1
ARRDC4,Arrdc4
CEP170,Cep170
SH3KBP1,Sh3kbp1
PRSS8,Prss8
MYH10,Myh10
NUMBL,Numbl
MAEL,Mael
TRMT1L,Trmt1l
MYO1E,Myo1e
RNF7,Gm7075
CISD3,Cisd3
WDR89,Wdr89
SKP1,Skp1a
SLC38A1,Slc38a1
TPRG1,Tprg
ARL6IP1,Arl6ip1
OR5B12,Olfr1448
ZFP64,Zfp64
TMEM184B,Tmem184b
CXCR4,Cxcr4
NPR1,Npr1
WDR12,Wdr12
GALNT14,Galnt14
HMG20A,Hmg20a
MLPH,Mlph
SLC47A1,Slc47a1
DPYSL4,Dpysl4
AC138647.1,Gm6569
MROH5,Mroh5
IGFL4,Igfl3
SGPP1,Sgpp1
GLE1,Gle1
C16orf87,4921524J17Rik
PCGF2,Pcgf2
SUPT6H,Supt6
TMEM156,Tmem156
ZFP36L2,Zfp36l2
RILP,Rilp
ST6GALNAC1,St6galnac1
THADA,Thada
PRLH,Prlh
TCF7,Tcf7
RAPGEF4,Rapgef4
PRR12,Prr12
POU2F1,Pou2f1
UTP15,Utp15
IFT43,Ift43
DDN,Ddn
LRRTM3,Lrrtm3
MUC15,Muc15
CNTROB,Cntrob
PRKAG1,Prkag1
GMEB2,Gmeb2
PRSS36,Prss36
UCP2,Ucp2
CTNNA3,Ctnna3
CEP70,Cep70
SDF2,Sdf2
ANO3,Ano3
RAB17,Rab17
VEGFA,Vegfa
FAT1,Fat1
MKNK2,Mknk2
KLHL5,Klhl5
MFSD11,Mfsd11
DNAJB13,Dnajb13
CDKN1C,Cdkn1c
ODF3B,Odf3b
SLC38A2,Slc38a2
GPT2,Gpt2
HCRTR1,Hcrtr1
SLC9A5,Slc9a5
MTMR6,Mtmr6
HPX,Hpx
PSMB3,Psmb3
SCARF1,Scarf1
ABHD5,Abhd5
MOB3A,Mob3a
SNX31,Snx31
SLC22A18,Slc22a18
OR5B2,Olfr1451
LDHC,Ldhc
PDZRN3,Pdzrn3
STK32C,Stk32c
PDIK1L,Pdik1l
TEX33,Tex33
NSFL1C,Nsfl1c
RPH3A,Rph3a
TSHZ2,Tshz2
ILF2,Ilf2
ADRA1D,Adra1d
FBXW12,Fbxw20
CLEC2D,Clec2g
KLHDC7B,Klhdc7b
ERVFRD-1,Syna
SRSF2,Srsf2
SYCE3,Syce3
LRRC27,Lrrc27
ILDR2,Ildr2
HSD17B3,Hsd17b3
CLIP2,Clip2
RAD51,Rad51
DTWD1,Dtwd1
PIP4K2B,Pip4k2b
METTL23,Mettl23
CCDC92,Ccdc92
PUF60,Puf60
ZFAND3,Zfand3
SNAPIN,Snapin
DNAJA2,Dnaja2
TST,Tst
SCG3,Scg3
PIR,Pir
PHLDA2,Phlda2
ZNF217,Zfp217
MPST,Mpst
JMJD6,Jmjd6
STMN3,Stmn3
NAP1L4,Nap1l4
RNASET2,Rnaset2a
AL159163.1,Rnaset2a
PEX10,Pex10
CWC25,Cwc25
RMDN3,Rmdn3
VDAC1,Vdac1
NOX4,Nox4
OR5B3,Olfr1453
MGAT5B,Mgat5b
EZH1,Ezh1
SDCCAG8,Sdccag8
OR5B3,Olfr1454
ERMP1,Ermp1
TMPRSS11E,Tmprss11e
ETS2,Ets2
YTHDC1,Ythdc1
MICB,Mill1
MICA,Mill1
MAP3K6,Map3k6
BTD,Btd
CPNE2,Cpne2
OR5B3,Olfr1457
HACL1,Hacl1
CHKB,Chkb
DUSP7,Dusp7
KDM5B,Kdm5b
SLC43A2,Slc43a2
FIGNL2,Fignl2
OR5B3,Olfr1458
ESCO2,Esco2
THSD7B,Thsd7b
AMER2,Amer2
KLF10,Klf10
MTNR1A,Mtnr1a
AKT3,Akt3
OR5B3,Olfr1459
ANKRD33,Ankrd33
NETO2,Neto2
CCDC69,Ccdc69
RER1,Rer1
RB1,Rb1
DAPL1,Dapl1
CD247,Cd247
CPT1B,Cpt1b
PWWP2B,Pwwp2b
CARS,Cars
MFSD12,Mfsd12
KLF7,Klf7
FZR1,Fzr1
SEC14L1,Sec14l1
ACCS,Accs
SLC38A4,Slc38a4
LPAR6,Lpar6
ANAPC7,Anapc7
WIF1,Wif1
C17orf98,1700001P01Rik
NF2,Nf2
RCBTB2,Rcbtb2
IRF6,Irf6
RPL23,Rpl23
COLQ,Colq
MYO1B,Myo1b
KCTD19,Kctd19
INCA1,Inca1
TRAF3IP3,Traf3ip3
ATP2A2,Atp2a2
RPL29,Rpl29
C11orf49,1110051M20Rik
PRNP,Prnp
OPLAH,Oplah
PRND,Prnd
FUS,Fus
NKX6-2,Nkx6-2
C19orf71,4930404N11Rik
OR2AT4,Olfr520
INPP5A,Inpp5a
CCNB2,Ccnb2
F12,F12
PLEKHG4,Plekhg4
NEU3,Neu3
TADA1,Tada1
NTMT1,Ntmt1
ARFGAP2,Arfgap2
MSI1,Msi1
ATP5MGL,Atp5l
ATP5MG,Atp5l
CPEB3,Cpeb3
XRRA1,Xrra1
POGK,Pogk
EXOSC4,Exosc4
C1orf74,A130010J15Rik
ATP8B4,Atp8b4
NRBP2,Nrbp2
SPCS2,Spcs2
HSP90AA1,Hsp90aa1
HCFC1,Hcfc1
KARS,Kars
TBX2,Tbx2
COA4,Coa4
KMT2D,Kmt2d
SEPT9,Sept9
PDE3A,Pde3a
VPS25,Vps25
TBX4,Tbx4
BCAS1,Bcas1
GM2A,Gm2a
CHIA,Chil4
SMYD4,Smyd4
POTEA,4930430A15Rik
ACTBL2,Actbl2
MRPL48,Mrpl48
CLEC11A,Clec11a
TRIM63,Trim63
RFX7,Rfx7
RABGGTA,Rabggta
CHIA,Chil3
AAR2,Aar2
MARCH5,March5
CLDN17,Cldn17
REP15,Rep15
ITFG1,Itfg1
CLDN8,Cldn8
AP5S1,Ap5s1
TYR,Tyr
KDM4B,Kdm4b
KRTAP24-1,Krtap24-1
PRRG2,Prrg2
RCE1,Rce1
KRTAP26-1,Krtap26-1
PYCARD,Pycard
AC080038.1,Mrc2
KRTAP27-1,Krtap27-1
RAMP2,Ramp2
GCK,Gck
RAB6A,Rab6a
PTPN11,Ptpn11
SNRPA1,Snrpa1
RNF169,Rnf169
GRM5,Grm5
PFDN4,Pfdn4
TP63,Trp63
YARS,Yars
NOSIP,Nosip
AMIGO2,Amigo2
MRPS35,Mrps35
PCED1B,Pced1b
PCSK6,Pcsk6
CYP24A1,Cyp24a1
TEX35,Tex35
CCDC25,Ccdc25
CACNB2,Cacnb2
KIAA1522,C77080
FBXW12,Fbxw14
TNRC6C,Tnrc6c
TNFRSF10C,Tnfrsf22
TNFRSF10D,Tnfrsf22
TNFRSF10B,Tnfrsf22
CFAP46,Cfap46
MANSC4,Mansc4
TSG101,Tsg101
MLANA,Mlana
TRIM72,Trim72
KLHL42,Klhl42
RASSF2,Rassf2
TNFRSF10C,Tnfrsf26
TNFRSF10D,Tnfrsf26
TNFRSF10B,Tnfrsf26
KIAA2026,9930021J03Rik
ACAP3,Acap3
SLC30A2,Slc30a2
ASB6,Asb6
KRTAP13-2,Krtap13-1
KRTAP13-1,Krtap13-1
TNFRSF10C,Tnfrsf23
TNFRSF10D,Tnfrsf23
TNFRSF10B,Tnfrsf23
C5orf15,9530068E07Rik
LASP1,Lasp1
OR8K3,Olfr1077-ps1
SLC36A3,Slc36a3
RANBP6,Ranbp6
TERF2IP,Terf2ip
PANK3,Pank3
TNNI3,Tnni3
PCSK4,Pcsk4
ACVRL1,Acvrl1
SLC27A2,Slc27a2
OR8K3,Olfr1079
MRPS18A,Mrps18a
MARCH10,March10
DNAAF3,Dnaaf3
AC010327.2,Dnaaf3
LRRFIP1,Lrrfip1
RSPH9,Rsph9
RANBP3L,Ranbp3l
CASP3,Casp3
CTSC,Ctsc
SYT2,Syt2
HMGCLL1,Hmgcll1
RPAP3,Rpap3
RNF112,Rnf112
PITPNA,Pitpna
TNFRSF10C,Nradd
ZNHIT6,Znhit6
TANC2,Tanc2
ZNF664,Zfp664
PPP1R12B,Ppp1r12b
GRAMD1A,Gramd1a
WNK4,Wnk4
YKT6,Ykt6
MAD2L1BP,Mad2l1bp
BMP5,Bmp5
FBXO47,Fbxo47
RAB38,Rab38
SLC36A2,Slc36a2
SCARA3,Scara3
DOK5,Dok5
PAX7,Pax7
GPATCH2L,Gpatch2l
CHKA,Chka
TBC1D30,Tbc1d30
HDC,Hdc
ENDOU,Endou
C11orf80,Gm960
TMC8,Tmc8
OR5B3,Olfr1461
ACCSL,Accsl
FAM78B,Fam78b
OSBPL5,Osbpl5
GTF2E1,Gtf2e1
CCDC115,Ccdc115
PLXDC1,Plxdc1
IMP4,Imp4
IQCK,Iqck
IPO5,Ipo5
CHIA,Chil6
KRTAP13-3,Krtap14
TGIF1,Tgif1
GPBP1,Gpbp1
KRTAP15-1,Krtap15
CSNK1E,Csnk1e
TPTEP2-CSNK1E,Csnk1e
KNOP1,Knop1
LTBP4,Ltbp4
LINGO1,Lingo1
CD55,Cd55
MRGPRG,Mrgprg
RASAL2,Rasal2
SSH1,Ssh1
MRGPRE,Mrgpre
TMC6,Tmc6
SYT5,Syt5
CYB561,Cyb561
GCHFR,Gchfr
ALKBH3,Alkbh3
BECN1,Becn1
GPRC5B,Gprc5b
CBLN4,Cbln4
LRRC36,Lrrc36
KLHDC7A,Klhdc7a
FBLL1,Fbll1
MC3R,Mc3r
PTHLH,Pthlh
OR8K3,Olfr1080
PYGM,Pygm
ARL5C,Arl5c
INPP5K,Inpp5k
UBE4B,Ube4b
NADSYN1,Nadsyn1
FAM210B,Fam210b
DRAM2,Dram2
C11orf96,Gm13889
CCDC91,Ccdc91
AURKA,Aurka
TMEM135,Tmem135
NKTR,Nktr
BRCA2,Brca2
WDR20,Wdr20
DONSON,Donson
GTPBP2,Gtpbp2
ACVR1B,Acvr1b
UEVLD,Uevld
LAMB3,Lamb3
PSMG1,Psmg1
ZBED4,Zbed4
SNAP91,Snap91
COA3,Coa3
UCK2,Uck2
GRASP,Grasp
CNTD1,Cntd1
DENND2D,Dennd2d
EXTL1,Extl1
FSTL4,Fstl4
DHH,Dhh
RHEBL1,Rhebl1
AL162417.1,Ralgds
RALGDS,Ralgds
C17orf99,6030468B19Rik
ATP2A1,Atp2a1
KNDC1,Kndc1
KIF1C,Kif1c
ZBTB47,Zfp651
TRIM26,Trim26
SLC36A1,Slc36a1
ITGAM,Itgam
CEPT1,Cept1
SLC23A2,Slc23a2
HSD11B1,Hsd11b1
AFMID,Afmid
MAPK7,Mapk7
AP000311.1,Atp5o
ATP5PO,Atp5o
OR8K3,Olfr1082
CNTNAP4,Cntnap4
AC106741.1,Cntnap4
RABEP2,Rabep2
OR8K3,Olfr1084
OR8K3,Olfr1085
ACE,Ace
FGFR1,Fgfr1
TMEM184C,Tmem184c
TK1,Tk1
RAPGEF5,Rapgef5
ITSN1,Itsn1
G0S2,G0s2
OR5T2,Olfr1086
MFAP4,Mfap4
TMCO1,Tmco1
CNTN3,Cntn3
PHKB,Phkb
RARS,Rars
DLL1,Dll1
SYNGR2,Syngr2
ALG12,Alg12
CHTOP,Chtop
DNAJC17,Dnajc17
TPPP3,Tppp3
KCNJ4,Kcnj4
RABL3,Rabl3
